U,V
4254,6362
4290,6362
4317,6406
4334,6377
4341,5043
4337,6391
4324,6362
4301,6391
4270,5026
4230,6392
4184,6391
4132,6362
4076,5014
4017,6391
3957,6391
3897,6348
3839,6348
3784,6348
3733,6305
3688,6180
3650,6074
3620,5958
3598,5846
3585,5751
3581,4531
3587,5635
3602,5591
3626,5602
3658,5613
3698,5692
3745,5739
3797,5835
3853,5945
3912,4822
3973,6208
4034,6319
4094,6305
4150,6348
4203,6362
4249,6377
4290,6348
4322,6377
4346,6362
4360,6391
4365,6348
4360,6377
4345,6362
4320,6377
4286,6391
4244,6348
4194,6362
4138,6377
4076,6362
4010,6377
3941,6362
3871,6391
3802,6362
3735,6277
3671,6194
3611,6048
3558,5896
3513,5774
3475,4479
3447,5439
3429,5346
3420,5256
3423,5179
3435,5150
3457,5122
3489,5141
3530,5188
3578,5266
3634,5346
3694,5514
3759,5602
3825,5787
3893,5958
3960,6140
4025,6263
4085,6319
4141,6348
4189,6348
4230,6362
4261,6377
4282,6348
4293,6362
4293,6362
4282,6362
4259,6348
4225,6363
4182,6391
4128,6362
4066,6348
3997,6348
3922,6377
3842,6362
3759,6334
3675,6222
3591,6100
3510,5896
3432,5774
3359,5482
3294,5296
3236,5085
3188,4908
3150,4718
3124,4565
3109,4422
3106,4441
3115,4235
3136,4298
3169,4178
3212,4283
3265,3493
3327,4431
3396,4500
3472,4672
3552,4883
3635,5095
3720,5316
3804,5558
3886,5810
3965,6022
4039,6194
4107,6306
4166,6334
4218,6362
4260,6362
4292,6363
4313,6377
4324,6391
4325,6348
4315,6348
4296,6377
4268,6377
4232,6348
4190,6348
4142,6362
4090,6362
4035,6348
3979,6348
3924,6377
3870,6362
3819,6362
3773,6306
3733,6222
3699,6127
3673,6009
3655,5933
3646,5859
3645,5810
3654,5774
3672,5739
3697,5763
3731,5775
3771,5834
3817,5920
3868,6035
3923,6153
3979,6236
4036,6306
4092,6305
4145,6334
4195,6348
4240,5012
4278,6348
4309,6348
4331,6334
4344,6348
4347,6362
4340,6348
4323,6334
4295,6362
4257,6362
4210,6362
4155,6348
4091,5012
4021,6348
3946,6362
3867,6348
3785,6319
3702,6249
3620,6167
3540,5958
3463,5787
3392,5569
3326,5346
3268,5141
3218,4960
3178,4782
3147,4610
3125,4478
3115,4483
3114,4274
3122,4317
3140,4172
3165,4264
3198,4191
3237,4329
3281,4326
3328,4517
3377,4543
3426,4679
3473,4832
3517,4978
3557,5122
3591,5276
